0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
1	2	1	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	2	0	0	0	0	0	4	1	2	1	0	0	0	0	0	0	1	0	1	0	
3	2	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	
4	0	0	0	3	1	2	1	0	3	0	0	0	0	2	0	0	0	0	0	0	
5	0	0	1	0	2	1	3	0	0	0	0	1	0	0	0	0	2	0	0	0	
6	0	0	0	2	1	2	1	0	0	0	0	1	0	1	0	1	2	0	0	0	
7	1	0	0	1	1	2	2	2	0	0	0	0	0	1	1	0	2	0	0	0	
8	3	0	0	0	0	0	6	0	0	0	0	1	0	4	1	0	0	0	0	0	
9	3	0	0	0	1	1	5	0	0	1	0	0	0	3	0	0	1	0	0	0	
10	4	0	0	3	0	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	
11	4	1	0	0	0	1	3	1	1	0	0	1	0	1	0	0	2	0	0	0	
12	0	0	0	0	0	0	0	0	1	0	0	3	0	0	7	2	1	0	1	0	
13	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	3	
14	0	0	0	2	0	0	0	0	0	0	0	3	0	2	8	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	
16	0	0	0	1	1	3	0	1	0	1	0	1	0	6	0	1	0	0	0	0	
17	2	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	4	2	0	1	
18	0	0	2	0	3	1	0	0	0	0	0	5	1	0	2	0	0	0	0	0	
19	0	0	0	4	3	2	0	0	0	0	0	1	0	0	0	0	4	0	0	0	
20	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	
