E:\Google Drive\Progetti\MSR Action3D\Real\a19_s01_e01_skeleton3D.txt
19
TRUE
-1507.2
-1528.58
-1520.7
-1513.76
-1521.55
-1530.65
-1545.4
-1561.08
-1545.53
-1507.92
-1509.09
-1512.46
-1453.35
-1462.03
-1505.98
-1486.01
-1514.14
-1487.58
-1379.07
-1464.76

56
20
1	0.999292	0.96977	0.965177	0.977432	0.944201	0.923601	0.90603	0.922404	0.915035	0.981841	0.974721	0.989421	0.979332	0.975657	0.950043	0.894405	0.719836	0.782905	0.750855	0.611469	0.783553	0.93467	0.983192	0.982189	0.991976	0.922281	0.900784	0.915688	0.890328	0.895406	0.784638	0.608372	0.804574	0.705508	0.876301	0.736546	0.835334	0.911697	0.990755	0.985008	0.989277	0.993803	0.94816	0.801778	0.881297	0.253644	0.00305948	0.000420597	0.00031517	0.000344086	7.52449e-005	6.08141e-005	7.09213e-005	3.92013e-005	2.86297e-005	0.000290801	
0	0.000592183	0.0290878	0.0321636	0.00846234	0.0514474	0.056575	0.0708245	0.0244989	0.076059	0.00425828	0.0186249	0.00377139	0.00349274	0.0139761	0.0476135	0.103807	0.278584	0.215482	0.247227	0.380547	0.211787	0.0601535	0.00637591	0.00185177	0.00100543	0.0105995	0.0287749	0.0713583	0.103738	0.0920177	0.189597	0.38146	0.164703	0.276471	0.0980334	0.23222	0.159174	0.0670839	0.00368031	0.00491985	0.00481034	0.00351621	0.000865285	0.0136264	0.0913416	0.7436	0.996872	0.999544	0.204035	0.873539	0.967054	0.830847	0.869388	0.930779	0.962594	0.899329	
0	0.000115989	0.00113823	0.00262034	0.0140902	0.00122384	0.0197763	0.0202493	0.0524729	0.00710875	0.0138357	0.00582622	0.00635474	0.0171416	0.010264	0.00170636	0.0017284	0.00145576	0.0014389	0.00175988	0.00711952	0.00364794	0.00324468	0.00976959	0.00256343	0.00112099	0.00733985	9.55326e-005	0.00384434	0.00578566	0.0124657	0.0256008	0.0100669	0.0303281	0.0178555	0.0252924	0.0310754	0.00221494	0.0160339	0.00263131	0.00808001	0.00228724	0.00128466	0.0509352	0.182397	0.00198567	0.00232483	5.90224e-005	3.37394e-005	0.795648	0.0171983	0.000466856	0.00133948	0.000477643	6.82605e-005	0.00014595	0.0828607	
0	0	4.02368e-006	3.93909e-005	1.56312e-005	0.00312816	4.74952e-005	0.00289652	0.000624509	0.00179779	6.49646e-005	0.000827794	0.000452895	3.35988e-005	0.0001027	0.000636645	5.94384e-005	0.000124707	0.000173825	0.000157829	0.000864647	0.00101169	0.00193176	0.000662799	0.0133962	0.00589803	0.0597798	0.0703458	0.00910916	0.000148208	0.000110345	0.00016492	0.000101537	0.000394364	0.00016578	0.00037289	0.000159119	0.00327725	0.00518479	0.0029335	0.00199191	0.00362509	0.00139603	4.00161e-005	0.00219876	0.0253755	0.000431404	9.17222e-006	1.93905e-006	1.34621e-006	0.108918	0.0324041	0.167752	0.130063	0.0691137	0.037231	0.0175195	


1	0.818278	0.860404	0.979967	0.231485	0.69633	0.144312	0.344028	0.330832	0.440887	0.314184	0.25368	0.848174	0.0754652	0.0439015	0.0105586	0.00126524	0.00117228	0.000531377	5.39966e-005	2.57485e-006	6.06059e-007	5.11168e-008	7.60232e-009	5.92997e-010	1.6197e-010	4.98324e-012	3.84613e-013	4.54896e-013	1.51968e-012	7.34651e-012	4.9677e-012	8.82977e-012	2.2646e-011	1.4164e-011	3.67252e-010	3.39684e-010	2.91086e-009	6.60267e-010	3.15125e-010	6.17607e-011	1.19617e-010	1.146e-011	7.55029e-012	1.81697e-011	3.09281e-011	1.14217e-009	3.21454e-009	1.99504e-010	5.02575e-010	5.20628e-010	3.92984e-011	5.75874e-012	5.75913e-013	9.39567e-014	6.75816e-016	1.61139e-016	
0	0.181721	0.139204	0.0197857	0.768481	0.286971	0.854639	0.635475	0.653206	0.543439	0.684367	0.72263	0.130198	0.921797	0.952135	0.974416	0.980756	0.847845	0.112647	0.0223871	0.000570134	6.46411e-005	1.30151e-006	1.87317e-006	5.13562e-008	3.95045e-008	5.93619e-010	1.34955e-011	1.35811e-011	1.66965e-010	2.53189e-010	4.92522e-010	5.60678e-009	1.4665e-008	1.42936e-007	8.6775e-007	5.4929e-006	1.47529e-006	1.58003e-007	6.35006e-008	7.55819e-009	3.44006e-010	1.35923e-010	2.58253e-009	5.73123e-009	8.18712e-010	3.83425e-009	3.41227e-010	7.96696e-012	2.3909e-008	3.01409e-009	6.66876e-010	6.88202e-012	3.61349e-013	5.90156e-015	1.73573e-016	6.63154e-016	
0	4.81186e-007	0.00033137	0.000222907	1.79571e-005	0.0113548	0.00014979	0.00869971	0.000956843	0.00365082	0.000367592	0.00443961	0.00104445	7.72479e-005	0.00253549	0.0054486	0.00386112	0.00810355	0.000894313	0.000193937	1.02402e-005	3.56278e-007	1.04828e-008	6.48254e-009	1.92644e-008	4.33439e-009	2.72338e-010	3.60665e-011	2.81744e-011	7.00446e-012	4.453e-012	8.65487e-013	1.05919e-011	1.17629e-010	8.72051e-011	1.10578e-008	8.11883e-009	9.58128e-008	9.64924e-010	6.67842e-010	1.23398e-011	1.11451e-011	3.82555e-013	2.47406e-013	3.59795e-011	5.18385e-011	8.43027e-011	1.59264e-011	3.83916e-013	1.1931e-011	1.15239e-009	2.8614e-010	7.73849e-012	5.02073e-013	1.03862e-014	1.06925e-017	1.74399e-019	
0	0	6.00459e-005	2.4733e-005	1.59367e-005	0.0053448	0.000899223	0.0117971	0.0150051	0.0120232	0.00108105	0.0192503	0.0205836	0.00266093	0.00142823	0.00957647	0.0141173	0.142879	0.885928	0.977365	0.999417	0.999934	0.999999	0.999998	1	1	1	1	1	1	1	1	1	1	1	0.999999	0.999994	0.999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
